"","ID","CC1","CC2","CC3","CC4","CC5","CC6","Exp1.CC1","Exp1.CC2","Exp1.CC3","X1_Exp1.Test.Jump","X2_Exp1.Test.Jump","X3_Exp1.Test.Jump","X4_Exp1.Test.Jump","X5_Exp1.Test.Jump","X6_Exp1.Test.Jump","X7_Exp1.Test.Jump","X1_Exp1.Test.Fall","X2_Exp1.Test.Fall","X3_Exp1.Test.Fall","X4_Exp1.Test.Fall","X5_Exp1.Test.Fall","X6_Exp1.Test.Fall","X7_Exp1.Test.Fall","Exp2.CC1","Exp2.CC2","Exp2.CC3","X1_Exp2.Test","X2_Exp2.Test","X3_Exp2.Test","X4_Exp2.Test","X5_Exp2.Test","X6_Exp2.Test","X7_Exp2.Test","Exp3.CC1","Exp3.CC2","Exp3.CC3","X1_Exp3.Test","X2_Exp3.Test","X3_Exp3.Test","X4_Exp3.Test","X5_Exp3.Test","Exp4.CC1","Exp4.CC2","Exp4.CC3","X1_Exp4.Test","X2_Exp4.Test","X3_Exp4.Test","X4_Exp4.Test","X5_Exp4.Test","X6_Exp4.Test","X7_Exp4.Test","AC","AC_check","Age","Sex","Order_Exps1","Order_Exp2","Order_Exp3","Order_Exp4","Order_Exps","Version","Duration","group","Age_Months","Age_Years"
"1","1","deeper","deeper","deeper","No!","No!","To make decisions on which cliffs Wendi will jump",71,50,0,92,71,61,41,30,20,10,71,40,30,10,0,0,0,30,100,50,95,89,71,50,31,32,31,71,50,0,71,71,71,70,75,100,6,50,0,8,21,21,35,65,95,"Wendi's favorite gelato flavor is sea salt caramel",0,46,"female","|Exp1B.1|Exp1B.7|Exp1B.5|Exp1B.6|Exp1B.3|Exp1B.4|Exp1B.2","|Exp2B.4|Exp2B.2|Exp2B.3|Exp2B.1|Exp2B.5","|Exp3B.6|Exp3B.7|Exp3B.5|Exp3B.4|Exp3B.1|Exp3B.2|Exp3B.3","|Exp4B.4|Exp4B.5|Exp4B.3|Exp4B.7|Exp4B.1|Exp4B.6|Exp4B.2",1,"B",560,"adults",NA,NA
"2","2","deeper","deeper","deeper","No!","No!","To find out which objects she likes and which cliffs she is willing to jump for them.",30,50,92,23,38,46,56,71,63,75,51,59,67,69,78,82,92,32,95,50,12,32,27,51,67,71,74,30,51,92,41,39,36,25,28,94,27,51,100,83,65,51,32,16,5,"Wendi's favorite gelato flavor is sea salt caramel",0,35,"male","|Exp1A.3|Exp1A.6|Exp1A.1|Exp1A.5|Exp1A.2|Exp1A.7|Exp1A.4","|Exp2A.5|Exp2A.3|Exp2A.2|Exp2A.1|Exp2A.4","|Exp3A.1|Exp3A.7|Exp3A.6|Exp3A.4|Exp3A.3|Exp3A.2|Exp3A.5","|Exp4A.5|Exp4A.3|Exp4A.4|Exp4A.2|Exp4A.1|Exp4A.6|Exp4A.7",2,"A",488,"adults",NA,NA
"3","3","deeper","deeper","deeper","No!","No!","to know when she will jump",31,51,97,25,28,29,31,27,24,37,66,77,81,71,92,98,98,32,95,50,13,31,25,50,78,74,72,31,51,93,30,31,25,31,29,96,24,51,72,91,35,51,17,14,0,"Wendi's favorite gelato flavor is sea salt caramel",0,68,"female","|Exp1A.7|Exp1A.1|Exp1A.3|Exp1A.5|Exp1A.6|Exp1A.4|Exp1A.2","|Exp2A.5|Exp2A.1|Exp2A.2|Exp2A.4|Exp2A.3","|Exp3A.1|Exp3A.5|Exp3A.6|Exp3A.2|Exp3A.3|Exp3A.4|Exp3A.7","|Exp4A.2|Exp4A.3|Exp4A.1|Exp4A.5|Exp4A.7|Exp4A.6|Exp4A.4",1,"A",771,"adults",NA,NA
"4","4","deeper","deeper","deeper","No!","No!","To determine what objects Wendi likes and what cliffs she will jump.",30,50,100,10,21,40,71,82,81,91,71,64,76,81,93,92,92,33,100,50,0,0,25,51,70,100,100,30,50,100,50,30,30,25,19,100,21,51,NA,89,66,51,31,7,8,"Wendi's favorite gelato flavor is sea salt caramel",0,64,"female","|Exp1A.6|Exp1A.3|Exp1A.2|Exp1A.7|Exp1A.4|Exp1A.1|Exp1A.5","|Exp2A.1|Exp2A.3|Exp2A.4|Exp2A.2|Exp2A.5","|Exp3A.1|Exp3A.7|Exp3A.4|Exp3A.5|Exp3A.6|Exp3A.3|Exp3A.2","|Exp4A.1|Exp4A.7|Exp4A.4|Exp4A.2|Exp4A.6|Exp4A.3|Exp4A.5",3,"A",955,"adults",NA,NA
"5","5","deeper","deeper","deeper","No!","No!","To find out which cliffs Wendi will jump and what objects Wendi likes",71,50,7,51,49,50,51,28,14,7,51,51,29,32,15,16,6,29,90,50,71,70,71,50,29,31,30,71,50,8,69,70,72,70,87,95,24,50,0,21,21,32,50,65,100,"Wendi's favorite gelato flavor is sea salt caramel",0,36,"male","|Exp1B.6|Exp1B.3|Exp1B.4|Exp1B.5|Exp1B.1|Exp1B.2|Exp1B.7","|Exp2B.4|Exp2B.1|Exp2B.2|Exp2B.3|Exp2B.5","|Exp3B.5|Exp3B.3|Exp3B.1|Exp3B.7|Exp3B.4|Exp3B.6|Exp3B.2","|Exp4B.3|Exp4B.5|Exp4B.6|Exp4B.4|Exp4B.1|Exp4B.2|Exp4B.7",1,"B",616,"adults",NA,NA
"6","6","deeper","deeper","deeper","No!","No!","To figure out what Wendi likes and what cliffs she will jump over",31,51,100,1,33,32,29,52,32,56,100,93,94,85,69,80,73,30,100,51,0,0,3,50,100,100,100,30,51,100,70,43,31,31,33,100,23,51,100,78,75,50,30,5,2,"Wendi's favorite gelato flavor is sea salt caramel",0,28,"female","|Exp1A.2|Exp1A.3|Exp1A.4|Exp1A.5|Exp1A.7|Exp1A.1|Exp1A.6","|Exp2A.5|Exp2A.3|Exp2A.1|Exp2A.4|Exp2A.2","|Exp3A.7|Exp3A.4|Exp3A.3|Exp3A.6|Exp3A.5|Exp3A.1|Exp3A.2","|Exp4A.7|Exp4A.6|Exp4A.4|Exp4A.5|Exp4A.1|Exp4A.3|Exp4A.2",2,"A",610,"adults",NA,NA
"7","7","deeper","deeper","deeper","No!","No!","Determining what Wendi will jump the cliff for.",29,51,100,0,0,28,50,40,100,78,31,29,51,50,58,100,87,31,100,51,16,26,31,51,70,70,78,30,50,100,29,30,37,30,21,100,27,50,65,59,38,23,8,0,0,"Wendi's favorite gelato flavor is sea salt caramel",0,27,"female","|Exp1A.6|Exp1A.5|Exp1A.2|Exp1A.7|Exp1A.1|Exp1A.4|Exp1A.3","|Exp2A.4|Exp2A.3|Exp2A.5|Exp2A.2|Exp2A.1","|Exp3A.4|Exp3A.3|Exp3A.6|Exp3A.5|Exp3A.1|Exp3A.2|Exp3A.7","|Exp4A.1|Exp4A.3|Exp4A.5|Exp4A.7|Exp4A.6|Exp4A.4|Exp4A.2",1,"A",666,"adults",NA,NA
"8","8","deeper","deeper","deeper","No!","No!","To find out what Wendi likes and which cliffs she will jump.",70,51,10,58,68,70,57,44,33,41,42,29,23,36,25,10,9,30,100,50,82,77,72,50,31,34,31,70,51,0,21,40,58,60,83,99,26,51,0,9,34,50,62,81,100,"Wendi's favorite gelato flavor is sea salt caramel",0,30,"male","|Exp1B.5|Exp1B.7|Exp1B.4|Exp1B.2|Exp1B.1|Exp1B.6|Exp1B.3","|Exp2B.4|Exp2B.2|Exp2B.3|Exp2B.5|Exp2B.1|Exp2B.1|Exp2B.5|Exp2B.3|Exp2B.2|Exp2B.3|Exp2B.5|Exp2B.1","|Exp3B.2|Exp3B.5|Exp3B.7|Exp3B.6|Exp3B.4|Exp3B.3|Exp3B.1","|Exp4B.2|Exp4B.1|Exp4B.4|Exp4B.6|Exp4B.3|Exp4B.7|Exp4B.5",2,"B",371,"adults",NA,NA
"9","9","deeper","deeper","deeper","No!","No!","To figure out what Wendy likes and what cliffs she will jump over.",31,50,95,40,46,53,49,64,70,70,51,57,67,65,85,80,89,30,87,50,20,31,37,51,60,69,78,30,51,92,60,65,36,44,51,96,6,51,92,80,63,36,35,6,7,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"male","|Exp1A.4|Exp1A.5|Exp1A.6|Exp1A.7|Exp1A.1|Exp1A.3|Exp1A.2","|Exp2A.3|Exp2A.1|Exp2A.4|Exp2A.5|Exp2A.2","|Exp3A.4|Exp3A.3|Exp3A.6|Exp3A.7|Exp3A.2|Exp3A.1|Exp3A.5","|Exp4A.1|Exp4A.4|Exp4A.3|Exp4A.7|Exp4A.5|Exp4A.2|Exp4A.6",3,"A",393,"adults",NA,NA
"10","10","deeper","deeper","deeper","No!","No!","To find out what items Wendy likes.",29,50,100,0,26,19,62,65,100,100,50,51,65,84,90,100,100,31,100,50,0,10,25,50,73,74,100,30,49,100,30,30,29,28,33,100,20,51,100,79,23,50,14,6,0,"Wendi's favorite gelato flavor is sea salt caramel",0,39,"male","|Exp1A.4|Exp1A.5|Exp1A.7|Exp1A.1|Exp1A.3|Exp1A.2|Exp1A.6","|Exp2A.1|Exp2A.5|Exp2A.3|Exp2A.4|Exp2A.2","|Exp3A.4|Exp3A.1|Exp3A.6|Exp3A.2|Exp3A.7|Exp3A.3|Exp3A.5","|Exp4A.1|Exp4A.3|Exp4A.5|Exp4A.2|Exp4A.4|Exp4A.6|Exp4A.7",1,"A",389,"adults",NA,NA
