ID,CC1,CC2,CC3,CC4,CC5,CC6,Exp3.CC1,Exp3.CC2,Exp3.CC3,X1_Exp3.TestA,X2_Exp3.TestA,X3_Exp3.TestA,X4_Exp3.TestA,X5_Exp3.TestA,Exp4.CC1,Exp4.CC2,Exp4.CC3,X1_Exp4.TestA,X2_Exp4.TestA,X3_Exp4.TestA,X4_Exp4.TestA,X5_Exp4.TestA,X6_Exp4.TestA,X7_Exp4.TestA,AC,AC_check,Age,Sex,Version,Order_Exps,Duration
1,deeper,deeper,deeper,No!,No!,cliffs Wendi wants to jump,31,51,98,69,74,34,72,66,100,31,51,67,62,62,57,43,76,58,Wendi's favorite gelato flavor is sea salt caramel,0,28,male,A,1,265
2,deeper,deeper,deeper,No!,No!,To find out what object Wendi likes indicated by which hole she will jump over.,72,50,9,20,39,50,50,74,100,0,51,0,7,33,51,76,94,99,Wendi's favorite gelato flavor is sea salt caramel,0,31,male,B,2,383
3,deeper,deeper,deeper,No!,No!,To figure out which items she likes and which cliffs she will jump over.,29,51,97,98,83,74,42,29,100,17,51,100,80,66,37,22,6,0,Wendi's favorite gelato flavor is sea salt caramel,0,45,female,A,2,339
4,deeper,deeper,deeper,No!,No!,To say when Wendi likes an object.,70,50,0,51,51,50,50,50,100,26,51,0,21,37,50,73,79,100,Wendi's favorite gelato flavor is sea salt caramel,0,63,female,B,1,375
5,deeper,deeper,deeper,No!,No!,Determine if Wendi likes the object enough to jump the cliff,26,50,96,31,30,24,38,25,100,32,49,100,84,70,51,27,7,0,Wendi's favorite gelato flavor is sea salt caramel,0,35,male,A,2,548
6,deeper,deeper,deeper,No!,No!,see which  jump is deeper,40,54,95,59,26,44,39,36,97,16,54,94,80,65,51,28,15,4,Wendi´s favorite gelato flavor is sea salt caramel,1,42,male,A,2,471
7,deeper,deeper,deeper,No!,No!,To figure out how Wendi is going to jump the cliffs.,73,52,9,52,51,52,51,51,100,0,51,100,28,38,66,81,100,100,Wendi's favorite gelato flavor is sea salt caramel,0,40,male,B,2,670
8,deeper,deeper,deeper,No!,No!,Which objects an jumps she wants to do figure out. ,71,51,0,71,71,70,70,72,94,22,52,21,20,36,51,66,80,94,Wendi’s favorite gelato flavor is sea salt caramel,1,28,male,B,1,353
9,deeper,deeper,deeper,No!,No!,to figure out what objects wendy likes and what cliffs she will jump off of.,72,50,8,55,58,61,71,74,94,21,51,0,6,21,36,65,81,99,Wendi's favorite gelato flavor is sea salt caramel.,1,39,female,B,1,1155
10,deeper,deeper,deeper,No!,No!,wendi cliff jumping distance,30,50,92,29,70,28,30,28,97,25,51,30,74,30,29,71,31,29,Wendi's favorite gelato flavor is sea salt caramel,0,34,male,A,1,1240
